Seq,Comando,Posicao,Direcao,SensorEsq,SensorDir,SensorFrente,Carga
001,LIGAR,(0, 3),Sul,PAREDE,PAREDE,VAZIO,SEM_CARGA
002,A,(1, 3),Sul,VAZIO,VAZIO,VAZIO,SEM_CARGA
003,A,(2, 3),Sul,VAZIO,VAZIO,HUMANO,SEM_CARGA
004,P,(2, 3),Sul,VAZIO,VAZIO,VAZIO,COM_HUMANO
005,G,(2, 3),Oeste,VAZIO,VAZIO,VAZIO,COM_HUMANO
006,G,(2, 3),Norte,VAZIO,VAZIO,VAZIO,COM_HUMANO
007,A,(1, 3),Norte,VAZIO,VAZIO,VAZIO,COM_HUMANO
008,A,(0, 3),Norte,PAREDE,PAREDE,VAZIO,COM_HUMANO
009,E,(0, 3),Norte,PAREDE,PAREDE,VAZIO,SEM_CARGA
